name,sku,parent_sku,description,metadata,category_names,tag_names,quantities,list_prices,discount_codes,net_prices,image_url
"""Quad 20,000 mAh Power Bank""","""7120-65-Graphite""","""7120-65-Graphite""","""Looking to charge multiple devices at one time?  The 20,000mAh is perfect for your charging needs.   With two 5V/1A outputs and two 5V/2.4A outputs you will be able to charge two smartphones and two tablets at the same time.  Includes a USB to Micro USB connecting cable which can charge the battery backup or be used to charge up devices with a Micro USB input like Android smartphones from Samsung, Motorola, HTC, Nokia and others.""","{""material"":""ABS Plastic"",""size"":""6.125\"" H x 2.875\"" W x .5\"" L"",""packaging"":""1-piece black gift box"",""color"":""Graphite""}","[""Technology""]",,"[12,50,100,150,200]","[""111.05"",""106.52"",""102.02"",""97.5"",""90.28""]",,"[54.168,54.168,54.168,54.168,54.168]",
"""Virtual Reality Headset""","""7140-59-Black""","""7140-59-Black""","""Now virtual reality can be experienced by anyone. This Virtual Reality headset allows you to experience 360 degree viewing and gaming. Simply download any \""Virtual Reality\"" App  or \""3D App\"" on your smart phone to begin your virtual reality experience.  The padded headset allows you to experience virtual reality in comfort. The adjustable head strap makes it “one size fits all”. The Virtual Reality headset fits all 4-6.5” phones, this includes the iPhone 6 & 6 plus, HTC One, and Nexus 6. Please note that your case may need to be removed. ""","{""material"":""ABS Plastic"",""size"":""4.3\"" H x 7\"" W x 4.3\"" L"",""packaging"":""1-piece black gift box"",""color"":""Black""}","[""Technology""]",,"[24,100,150,250,400]","[""17.75"",""17.07"",""16.37"",""15.65"",""14.1""]",,"[8.459999999999999,8.459999999999999,8.459999999999999,8.459999999999999,8.459999999999999]",
"""High Definition Action Camera""","""7140-60-Black""","""7140-60-Black""","""The HD Wifi action camera comes equipped with a 1080p HD lense and a 2\"" LCD screen to capture the special moment. The action camera is capable of taking both pictures & video with crystal clear resolution. The wifi capabilities allow you to take your photography to a new level. Simply download the suggested App to control the camera from your mobile device. Along with the HD camera you will receive 13 additional accessories, which include a waterproof case, helmet, and handlebar mount. Micro USB charging cable included. SD Card not included.""","{""material"":""ABS Plastic and Rubber"",""size"":""3.1\"" H x 7.6\"" W x 1.4\"" L"",""packaging"":""1-piece black gift box"",""color"":""Black""}","[""Technology""]",,"[3,10,20,30,50]","[""170.3"",""163.57"",""156.8"",""150.05"",""135.17""]",,"[81.10199999999999,81.10199999999999,81.10199999999999,81.10199999999999,81.10199999999999]",
"""Remote Control Drone with Camera""","""7199-84-Black""","""7199-84-Black""","""Considered one of the hottest new tech items of the season, the remote control drone with camera  is sure to be a home run. The Drone features an advanced stability system that makes the drone easy to operate. After one or two practice flights you will have the drone flying with ease. Once you advance your skills you can  start performing  aerial flips, taking video, or a still photo. The drone features a .5 MP camera. Pictures or Videos can be taking with a simple push of a button. The flying time is up to 7 minutes at a distance of up to 100 Meters (330 ft.). The drone includes a rechargeable battery, USB battery charging cable, 4GB SD Card, SD Card reader, and extra propellers. ""","{""material"":""ABS Plastic"",""size"":""2\"" H x 7\"" W x 7\"" L"",""packaging"":""1-piece black gift box"",""color"":""Black""}","[""Technology""]",,"[3,10,20,30,50]","[""137.38"",""131.93"",""126.48"",""121.03"",""109.03""]",,"[65.41799999999999,65.41799999999999,65.41799999999999,65.41799999999999,65.41799999999999]",
"""Boulder Waterproof Outdoor Bluetooth  Speaker""","""7199-85-Black""","""7199-85-Black""","""Enjoy your favorite music regardless of your location. Take the Boulder outdoor speaker with you to the pool, on your hike, or to your next house party. The 6 Watt output and Digital Sound Processor is capable of filling any location with quality sound. Includes Micro USB Charging Cable. Bluetooth working range is 10 meters (33 feet).""","{""material"":""ABS Plastic and Rubber"",""size"":""3.1\"" H x 7.6\"" W x 1.5\"" L"",""packaging"":""1-piece black gift box"",""color"":""Black""}","[""Technology""]",,"[12,50,100,150,200]","[""59.52"",""57.17"",""54.8"",""52.42"",""47.23""]",,"[28.337999999999997,28.337999999999997,28.337999999999997,28.337999999999997,28.337999999999997]",
"""elleven™ Dual Ballpoint Stylus""","""0011-02-Black""","""0011-02-Black""","""Innovative elleven™ design. High-gloss silhouette designed to work with most tablet computers and mobile devices, including the iPad and iPhone. Stylus uses capacitive touch technology. Includes premium black ballpoint ink cartridge.""","{""material"":""Brass"",""size"":""5.73\"" H x .41\"" D"",""packaging"":""2-piece black gift box"",""color"":""Black""}","[""Metal Pens""]",,"[60,150,300,450,600]","[""12.68"",""12.17"",""11.68"",""11.17"",""10.07""]",,"[6.042,6.042,6.042,6.042,6.042]","""http://media.pcna.com/ms/?/leeds/large/0011-02BK_D/en"""
"""elleven™ Traverse Roller Ball Stylus""","""0011-04-Black""","""0011-04-Black""","""Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber, cap off stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black roller ball ink cartridge.""","{""material"":""Brass"",""size"":""5.5\"" H"",""packaging"":""2-piece black gift box"",""color"":""Black""}","[""Metal Pens""]",,"[48,150,300,450,600]","[""10.83"",""10.4"",""9.98"",""9.55"",""8.6""]",,"[5.159999999999999,5.159999999999999,5.159999999999999,5.159999999999999,5.159999999999999]","""http://media.pcna.com/ms/?/leeds/large/0011-04BK_D-1/en"""
"""elleven™ Traverse Roller Ball Stylus""","""0011-04-Silver""","""0011-04-Black""","""Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber, cap off stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black roller ball ink cartridge.""","{""material"":""Brass"",""size"":""5.5\"" H"",""packaging"":""2-piece black gift box"",""color"":""Silver""}","[""Metal Pens""]",,"[48,150,300,450,600]","[""10.83"",""10.4"",""9.98"",""9.55"",""8.6""]",,"[5.159999999999999,5.159999999999999,5.159999999999999,5.159999999999999,5.159999999999999]","""http://media.pcna.com/ms/?/leeds/large/0011-04SL_D-1/en"""
"""elleven™ Traverse Ballpoint Stylus""","""0011-05-Black""","""0011-05-Black""","""Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black ballpoint ink cartridge.""","{""material"":""Aluminum"",""size"":""5.55\"" H x .44\"" D"",""packaging"":""Velvet pouch"",""color"":""Black""}","[""Metal Pens""]",,"[48,150,300,450,600]","[""9.02"",""8.67"",""8.32"",""7.95"",""7.17""]",,"[4.302,4.302,4.302,4.302,4.302]","""http://media.pcna.com/ms/?/leeds/large/0011-05BK_D/en"""
"""elleven™ Traverse Ballpoint Stylus""","""0011-05-Silver""","""0011-05-Black""","""Streamline your business travelling with the elleven™ Traverse collection. Incredibly unique design features a high gloss barrel with an intricate, 3D geometric cut bottom barrel. You have to feel the barrel! Soft rubber stylus ideal for most mobile devices, including the iPad and iPhone. Includes premium black ballpoint ink cartridge.""","{""material"":""Aluminum"",""size"":""5.55\"" H x .44\"" D"",""packaging"":""Velvet pouch"",""color"":""Silver""}","[""Metal Pens""]",,"[48,150,300,450,600]","[""9.02"",""8.67"",""8.32"",""7.95"",""7.17""]",,"[4.302,4.302,4.302,4.302,4.302]","""http://media.pcna.com/ms/?/leeds/large/0011-05SL_D-1/en"""
