name,sku,parent_sku,description,metadata,category_names,tag_names,quantities,list_prices,discount_codes,net_prices,image_url
"""Christmas DVD in DVD Case""","""DVD Children's Christmas""","""DVD Children's Christmas""","""11 Sing-a-Long Christmas Songs Customized with your Full Color logo on the DVD, and in a Full Color Custom DVD Case""",{},"[""Christmas DVD""]",,[0],[0],,[0],"""https://dl.dropboxusercontent.com/u/8532883/product_pics/Children's Christmas DVD"""
"""CD Big Band Music Clear Jewel Case""","""CD Big Band Music CD-2""","""CD Big Band Music CD-2""","""Set up: 40 (E)<br/><br/>An economical and traditional way to package your personalized logoed CD. Have your 1-4 colour logo imprinted directly onto our signature selection of stock design CDs or cumstomize your own CD at NO EXTRA COST, packaged in an all-clear jewel box and includes shrink wrapping - Add Royalty - See and Hear Music at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""4.99"",""4.49"",""4.29"",""3.85"",""3.75"",""3.5""]",,"[""2.31"",""2.31"",""2.31"",""2.574"",""2.574"",""2.574""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/big-bandclear.jpg"""
"""CD Big Band Music Clear Poly Sleeve""","""CD Big Band Music CD-3""","""CD Big Band Music CD-3""","""Set up: 40 (E)<br/><br/>Fit that tight budget with an extremely affordable way to package your personalized logoed CD. Have your 1-4 colour logo imprinted directly onto our signature stock design CDs, packaged in a Clear Vinyl Sleeve. Add Royalty Fee - See and Hear Music at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""4.49"",""4.29"",""3.99"",""3.75"",""3.5"",""3.25""]",,"[""2.25"",""2.25"",""2.394"",""2.394"",""2.394"",""2.394""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/big-bandv.jpg"""
"""CD Big Band Music Greeting Card""","""CD Big Band Music CD-4""","""CD Big Band Music CD-4""","""Set up: 40 (E)<br/><br/>CD Greeting Cards are the perfect gift combining a greeting card with a complementing CD. Have your 1-4 colour imprint on our signature stock greeting card designs or customize your own CD and package to highlight your corporate message for maximum exposure at the highest perceived value. Included is a matching CD with a 1-4 colour imprint of your logo held securely in a reusable, protective, adhesive vinyl sleeve - Add Royalty Fee - See and Hear Music at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""5.99"",""5.49"",""4.99"",""4.75"",""4.5"",""3.99""]",,"[""2.7"",""2.7"",""2.85"",""2.85"",""2.85"",""2.994""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/big-band.jpg"""
"""CD Blues MusicTraditional Package""","""CD Blues Music CD-1""","""CD Blues Music CD-1""","""Set up: 40 (E)<br/><br/>Have your 1-4 colour logo imprinted directly onto our signature stock design CDs or Customize your own pacakge at NO EXTRA COST. Inserted in a traditional CD package including: jewel case, front jacket and back tray. Shrink wrapping included. Add Royalty Fee. See and Hear Music on our website at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""5.99"",""5.49"",""4.99"",""4.75"",""4.5"",""3.99""]",,"[""2.7"",""2.7"",""2.85"",""2.85"",""2.85"",""2.994""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/blues_trad.jpg"""
"""CD Blues Music Clear Jewel Case""","""CD Blues Music CD-2""","""CD Blues Music CD-2""","""Set up: 40 (E)<br/><br/>An economical and traditional way to package your personalized logoed CD. Have your 1-4 colour logo imprinted directly onto our signature selection of stock design CDs or cumstomize your own CD at NO EXTRA COST, packaged in an all-clear jewel box and includes shrink wrapping - Add Royalty - See and Hear Music at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""4.99"",""4.49"",""4.29"",""3.85"",""3.75"",""3.5""]",,"[""2.31"",""2.31"",""2.31"",""2.574"",""2.574"",""2.574""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/bluesclear.jpg"""
"""CD Blues Music Clear Poly Sleeve""","""CD Blues Music CD-3""","""CD Blues Music CD-3""","""Set up: 40 (E)<br/><br/>Fit that tight budget with an extremely affordable way to package your personalized logoed CD. Have your 1-4 colour logo imprinted directly onto our signature stock design CDs, packaged in a Clear Vinyl Sleeve. Add Royalty Fee - See and Hear Music at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""4.49"",""4.29"",""3.99"",""3.75"",""3.5"",""3.25""]",,"[""2.25"",""2.25"",""2.394"",""2.394"",""2.394"",""2.394""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/bluesv.jpg"""
"""CD Blues Music Greeting Card""","""CD Blues Music CD-4""","""CD Blues Music CD-4""","""Set up: 40 (E)<br/><br/>CD Greeting Cards are the perfect gift combining a greeting card with a complementing CD. Have your 1-4 colour imprint on our signature stock greeting card designs or customize your own CD and package to highlight your corporate message for maximum exposure at the highest perceived value. Included is a matching CD with a 1-4 colour imprint of your logo held securely in a reusable, protective, adhesive vinyl sleeve - Add Royalty Fee - See and Hear Music at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""5.99"",""5.49"",""4.99"",""4.75"",""4.5"",""3.99""]",,"[""2.7"",""2.7"",""2.85"",""2.85"",""2.85"",""2.994""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/blues.jpg"""
"""CD Children's Music Traditional Package""","""CD Children's Music CD-1""","""CD Children's Music CD-1""","""Set up: 40 (E)<br/><br/>Have your 1-4 colour logo imprinted directly onto our signature stock design CDs or Customize your own pacakge at NO EXTRA COST. Inserted in a traditional CD package including: jewel case, front jacket and back tray. Shrink wrapping included. Add Royalty Fee. See and Hear Music on our website at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""5.99"",""5.49"",""4.99"",""4.75"",""4.5"",""3.99""]",,"[""2.7"",""2.7"",""2.85"",""2.85"",""2.85"",""2.994""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/lul_moon_trad.jpg"""
"""CD Children's Music Clear Jewel Case""","""CD Children's Music CD-2""","""CD Children's Music CD-2""","""Set up: 40 (E)<br/><br/>An economical and traditional way to package your personalized logoed CD. Have your 1-4 colour logo imprinted directly onto our signature selection of stock design CDs or cumstomize your own CD at NO EXTRA COST, packaged in an all-clear jewel box and includes shrink wrapping - Add Royalty - See and Hear Music at www.thelogoedcd.com""","{""setup charge"":""$40 (E).""}","[""Music CD""]",,"[50,100,300,500,1000,2500]","[""4.99"",""4.49"",""4.29"",""3.85"",""3.75"",""3.5""]",,"[""2.31"",""2.31"",""2.31"",""2.574"",""2.574"",""2.574""]","""https://dl.dropboxusercontent.com/u/8532883/product_pics/lullaby-storkclear.jpg"""
